epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,588.762,0.66143,0.55849,1.08995,0.93903,0.91422,0.96219,0.82266,0.62291,0.47455,1.06649,0.000742625,0.000742625,0.000742625
43,602.519,0.63838,0.53964,1.0671,0.9589,0.88953,0.96743,0.80748,0.67008,0.45874,1.09681,0.00073025,0.00073025,0.00073025
44,617.043,0.65191,0.54729,1.07023,0.96847,0.89553,0.9574,0.80066,0.67735,0.48645,1.10292,0.000717875,0.000717875,0.000717875
45,631.395,0.65323,0.5469,1.07769,0.95733,0.90874,0.96898,0.82204,0.63885,0.45666,1.07261,0.0007055,0.0007055,0.0007055
46,645.393,0.65112,0.55105,1.07468,0.92769,0.91979,0.95971,0.81149,0.64677,0.46582,1.08649,0.000693125,0.000693125,0.000693125
47,659.554,0.64086,0.53144,1.06649,0.94292,0.92693,0.96405,0.82282,0.63365,0.42206,1.07982,0.00068075,0.00068075,0.00068075
48,673.382,0.6339,0.53174,1.06502,0.96713,0.9117,0.96846,0.82182,0.64293,0.43468,1.0859,0.000668375,0.000668375,0.000668375
49,687.293,0.63675,0.5339,1.06343,0.95318,0.92361,0.96854,0.83179,0.63481,0.43955,1.07258,0.000656,0.000656,0.000656
50,701.447,0.62492,0.50994,1.06029,0.95212,0.89376,0.964,0.83132,0.61318,0.44349,1.07146,0.000643625,0.000643625,0.000643625
51,715.649,0.62482,0.51333,1.06737,0.95206,0.90547,0.96908,0.8274,0.63448,0.44891,1.06257,0.00063125,0.00063125,0.00063125
52,729.588,0.62965,0.52024,1.05797,0.91771,0.92171,0.96594,0.82839,0.62163,0.43689,1.06339,0.000618875,0.000618875,0.000618875
53,743.333,0.60663,0.49155,1.04572,0.95856,0.92413,0.9696,0.83846,0.61209,0.4094,1.04878,0.0006065,0.0006065,0.0006065
54,757.422,0.61182,0.49816,1.05034,0.91911,0.93062,0.96912,0.82676,0.61918,0.42921,1.05857,0.000594125,0.000594125,0.000594125
55,771.065,0.60597,0.49566,1.04602,0.91191,0.94218,0.97201,0.82933,0.64879,0.39711,1.09669,0.00058175,0.00058175,0.00058175
56,784.64,0.61774,0.50241,1.05366,0.95892,0.90613,0.96851,0.83269,0.60988,0.41645,1.05425,0.000569375,0.000569375,0.000569375
57,798.741,0.59695,0.48921,1.03831,0.97085,0.8775,0.9579,0.83265,0.61452,0.42398,1.05771,0.000557,0.000557,0.000557
58,812.718,0.5996,0.48454,1.03972,0.97722,0.9019,0.9638,0.82216,0.63099,0.41657,1.08335,0.000544625,0.000544625,0.000544625
59,826.36,0.60864,0.494,1.05003,0.93076,0.92587,0.96647,0.82619,0.6208,0.4027,1.07423,0.00053225,0.00053225,0.00053225
60,840.196,0.59236,0.47337,1.04102,0.95838,0.90572,0.96434,0.82751,0.61521,0.39697,1.06226,0.000519875,0.000519875,0.000519875
61,854.017,0.59076,0.47171,1.02918,0.95719,0.9222,0.96783,0.82928,0.62316,0.41133,1.06529,0.0005075,0.0005075,0.0005075
62,868.526,0.59032,0.45972,1.03098,0.96911,0.91274,0.96643,0.82905,0.60453,0.39932,1.05214,0.000495125,0.000495125,0.000495125
63,882.908,0.585,0.46383,1.03974,0.93209,0.91769,0.95849,0.81877,0.6013,0.45256,1.05341,0.00048275,0.00048275,0.00048275
64,898.439,0.5907,0.4586,1.03394,0.95307,0.92592,0.96097,0.82288,0.61109,0.41233,1.06022,0.000470375,0.000470375,0.000470375
65,914.621,0.57694,0.46042,1.02924,0.93912,0.92947,0.96364,0.83659,0.59839,0.40732,1.05476,0.000458,0.000458,0.000458
66,929.823,0.5695,0.4416,1.02964,0.94109,0.93021,0.96274,0.8311,0.62459,0.41639,1.069,0.000445625,0.000445625,0.000445625
67,944.496,0.56558,0.45326,1.0319,0.94868,0.93457,0.96964,0.83325,0.59761,0.41671,1.04859,0.00043325,0.00043325,0.00043325
68,958.953,0.57561,0.45178,1.02368,0.95115,0.93249,0.96725,0.84559,0.58685,0.37834,1.05612,0.000420875,0.000420875,0.000420875
69,973.778,0.56526,0.43519,1.01623,0.95481,0.92591,0.97157,0.8343,0.59789,0.39349,1.05844,0.0004085,0.0004085,0.0004085
70,988.038,0.57682,0.45002,1.0253,0.94149,0.93584,0.96641,0.83531,0.59255,0.40637,1.04949,0.000396125,0.000396125,0.000396125
71,1002.37,0.55699,0.43789,1.01523,0.93443,0.90519,0.96339,0.83621,0.58213,0.42529,1.03903,0.00038375,0.00038375,0.00038375
72,1016.73,0.55781,0.43134,1.01493,0.95232,0.92169,0.96887,0.83944,0.58144,0.39803,1.0557,0.000371375,0.000371375,0.000371375
73,1030.65,0.54512,0.41619,1.00805,0.96286,0.91202,0.96747,0.84071,0.58838,0.39864,1.04035,0.000359,0.000359,0.000359
74,1045.16,0.54281,0.41862,1.00673,0.95926,0.91581,0.9677,0.83917,0.58467,0.38001,1.04858,0.000346625,0.000346625,0.000346625
75,1059.62,0.55054,0.42436,1.01153,0.96323,0.94558,0.97013,0.8359,0.59998,0.38056,1.06725,0.00033425,0.00033425,0.00033425
76,1073.68,0.54036,0.41885,1.01559,0.96762,0.94035,0.96666,0.8301,0.60316,0.38274,1.06661,0.000321875,0.000321875,0.000321875
77,1087.37,0.55078,0.41865,1.01964,0.96502,0.92661,0.96843,0.84403,0.58711,0.38488,1.04232,0.0003095,0.0003095,0.0003095
78,1101.05,0.53803,0.41092,1.00711,0.94259,0.9426,0.96819,0.83991,0.58589,0.3649,1.04716,0.000297125,0.000297125,0.000297125
79,1115,0.53334,0.40164,1.01478,0.94526,0.9389,0.96831,0.84421,0.59008,0.39001,1.04366,0.00028475,0.00028475,0.00028475
